Player,Id,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS36M,OFFR,OFFR36M,DEFR,DEFR36M,OFFDEFRATE,ASTPERD,BLKPF,RATE,RATETOT,FGA20P,MP10R,MP10A,MP20P
Markus Howard,howarma02,SG,21,DEN,37,1,5.5,1.1,2.9,0.377,0.5,1.8,0.27699999999999997,0.6,1.1,0.537,0.462,0.2,0.2,0.778,0.0,0.5,0.6,0.5,0.1,0.0,0.5,0.6,2.8,18.3,1.0,6.5,0.0,0.0,6.5,1.0,0.0,1.1,41.0,20.7,91.7,110.0,39.3
Kevin Huerter,huertke01,SG,22,ATL,69,49,30.8,4.6,10.6,0.43200000000000005,2.0,5.6,0.363,2.6,5.0,0.51,0.528,0.7,0.9,0.7809999999999999,0.6,2.8,3.3,3.5,1.2,0.3,1.1,2.4,11.9,13.9,8.9,10.4,1.9,2.2,12.6,3.2,0.1,10.5,724.0,17.8,93.3,88.0,51.8
Elijah Hughes,hugheel01,SF,22,UTA,18,0,3.6,0.6,1.7,0.33299999999999996,0.4,1.3,0.348,0.1,0.4,0.28600000000000003,0.467,0.2,0.2,0.75,0.1,0.4,0.5,0.3,0.1,0.1,0.3,0.1,1.7,17.0,0.7,7.0,0.5,5.0,12.0,1.0,1.0,1.2,22.0,20.0,72.0,120.0,42.4
De'Andre Hunter,huntede01,SF,23,ATL,23,19,29.5,5.2,10.8,0.484,1.3,4.1,0.326,3.9,6.7,0.5820000000000001,0.546,3.2,3.7,0.8590000000000001,0.7,4.0,4.8,1.9,0.8,0.5,1.3,2.6,15.0,18.3,10.7,13.1,2.7,3.3,16.4,1.5,0.2,13.0,299.0,14.4,61.5,155.3,39.3
Chandler Hutchison,hutchch01,SF,24,TOT,25,1,13.8,1.6,4.1,0.379,0.3,0.9,0.364,1.2,3.2,0.38299999999999995,0.41700000000000004,0.8,1.0,0.84,0.2,2.9,3.1,0.7,0.5,0.2,0.8,1.3,4.3,11.2,1.9,5.0,2.3,6.0,11.0,0.9,0.2,4.0,100.0,19.1,44.5,197.1,64.2
Chandler Hutchison,hutchch01,SF,24,CHI,7,0,9.1,0.7,2.6,0.278,0.1,0.4,0.33299999999999996,0.6,2.1,0.267,0.306,0.3,0.3,1.0,0.1,2.7,2.9,0.6,0.1,0.0,0.7,1.3,1.9,7.5,0.0,0.0,1.5,5.9,5.9,0.9,0.0,1.6,11.0,27.4,31.4,151.7,95.8
Chandler Hutchison,hutchch01,SF,24,WAS,18,1,15.7,1.9,4.7,0.4,0.4,1.1,0.368,1.5,3.7,0.409,0.441,1.1,1.3,0.826,0.3,2.9,3.2,0.7,0.6,0.3,0.8,1.3,5.2,11.9,2.6,6.0,2.5,5.7,11.7,0.9,0.2,4.9,88.0,18.1,49.1,224.3,60.4
Serge Ibaka,ibakase01,C,31,LAC,41,39,23.3,4.5,8.9,0.51,1.0,2.8,0.33899999999999997,3.6,6.1,0.588,0.563,1.0,1.3,0.8109999999999999,1.8,4.9,6.7,1.8,0.2,1.1,1.1,1.9,11.1,17.2,9.2,14.2,4.3,6.6,20.8,1.6,0.6,13.2,541.0,16.0,34.8,129.4,42.0
Andre Iguodala,iguodan01,SF,37,MIA,63,5,21.3,1.5,3.9,0.38299999999999995,1.0,2.9,0.33,0.6,1.0,0.53,0.504,0.4,0.6,0.6579999999999999,0.6,2.9,3.5,2.3,0.9,0.6,1.1,1.4,4.4,7.4,3.8,6.4,3.0,5.1,11.5,2.1,0.4,6.6,416.0,17.7,60.9,92.6,96.8
Ersan clyasova,ilyaser01,PF,33,UTA,17,1,8.7,1.2,3.2,0.389,1.1,2.4,0.439,0.2,0.8,0.231,0.556,0.3,0.3,1.0,0.4,1.3,1.7,0.2,0.6,0.2,0.5,1.7,3.8,15.7,1.9,7.9,0.4,1.7,9.6,0.4,0.1,2.3,39.0,16.8,51.2,435.0,45.8
Joe Ingles,inglejo01,SF,33,UTA,67,30,27.9,4.1,8.4,0.489,2.7,6.1,0.451,1.4,2.3,0.59,0.652,1.1,1.3,0.8440000000000001,0.4,3.2,3.6,4.7,0.7,0.2,1.7,1.8,12.1,15.6,11.2,14.5,2.3,3.0,17.5,2.8,0.1,13.3,891.0,13.9,77.5,59.4,46.1
Brandon Ingram,ingrabr01,SF,23,NOP,61,61,34.3,8.4,18.0,0.466,2.3,6.1,0.381,6.1,11.9,0.51,0.531,4.6,5.2,0.878,0.6,4.3,4.9,4.9,0.7,0.6,2.5,2.0,23.8,25.0,17.2,18.1,3.6,3.8,21.9,2.0,0.3,20.2,1232.0,15.1,70.0,70.0,28.8
Kyrie Irving,irvinky01,PG,28,BRK,54,54,34.9,10.2,20.1,0.506,2.8,7.0,0.402,7.4,13.1,0.561,0.5760000000000001,3.7,4.0,0.922,1.0,3.8,4.8,6.0,1.4,0.7,2.4,2.6,26.9,27.7,21.6,22.3,3.3,3.4,25.7,2.5,0.3,24.6,1328.0,14.9,72.7,58.2,25.9
Wesley Iwundu,iwundwe01,SF,26,TOT,41,4,13.1,0.8,2.5,0.33299999999999996,0.1,1.0,0.122,0.7,1.5,0.475,0.358,0.6,0.8,0.8390000000000001,0.4,1.8,2.2,0.4,0.4,0.1,0.5,1.2,2.4,6.6,1.0,2.7,1.1,3.0,5.7,0.8,0.1,1.9,78.0,20.8,59.5,327.5,109.2
Wesley Iwundu,iwundwe01,SF,26,DAL,23,3,12.5,0.7,2.3,0.327,0.1,1.0,0.13,0.6,1.3,0.483,0.35600000000000004,0.5,0.6,0.857,0.3,1.7,1.9,0.4,0.4,0.1,0.3,1.1,2.1,6.0,0.9,2.6,1.1,3.2,5.8,1.3,0.1,1.8,41.0,21.9,65.8,312.5,119.0
Wesley Iwundu,iwundwe01,SF,26,NOP,18,1,13.9,0.9,2.8,0.34,0.1,1.0,0.111,0.8,1.8,0.469,0.36,0.8,0.9,0.8240000000000001,0.5,2.1,2.6,0.4,0.3,0.1,0.7,1.3,2.8,7.3,1.1,2.8,1.2,3.1,5.9,0.6,0.1,2.2,40.0,20.0,53.5,347.5,99.3
Frank Jackson,jacksfr01,PG,22,DET,40,6,18.5,3.4,7.3,0.457,1.5,3.8,0.40700000000000003,1.8,3.6,0.51,0.561,1.5,1.9,0.813,0.4,1.8,2.2,0.9,0.4,0.0,0.9,1.3,9.8,19.1,6.3,12.3,0.9,1.8,14.1,1.0,0.0,6.8,272.0,14.9,84.1,205.6,37.8
Jaren Jackson Jr.,jacksja02,C,21,MEM,11,4,23.5,4.8,11.4,0.424,1.5,5.5,0.28300000000000003,3.3,5.9,0.5539999999999999,0.49200000000000005,3.2,3.8,0.833,1.5,4.1,5.6,1.1,1.1,1.6,1.4,3.8,14.4,22.1,9.0,13.8,3.0,4.6,18.4,0.8,0.4,11.4,125.0,15.8,42.0,213.6,32.6
Josh Jackson,jacksjo02,SG,23,DET,62,25,25.2,4.8,11.4,0.419,1.2,4.1,0.3,3.5,7.3,0.48700000000000004,0.473,2.6,3.5,0.7290000000000001,0.9,3.2,4.1,2.3,0.9,0.8,2.3,2.9,13.4,19.1,7.7,11.0,2.0,2.9,13.9,1.0,0.3,8.8,546.0,17.0,61.5,109.6,37.6
Justin Jackson,jacksju01,SF,25,TOT,34,3,17.0,2.6,6.5,0.40299999999999997,1.1,3.4,0.308,1.6,3.1,0.51,0.484,0.9,1.1,0.838,0.5,1.8,2.3,1.5,0.4,0.1,0.9,0.9,7.2,15.2,4.4,9.3,1.4,3.0,12.3,1.7,0.1,5.6,190.0,18.1,73.9,113.3,47.2
Justin Jackson,jacksju01,SF,25,OKC,33,3,16.5,2.6,6.4,0.406,1.0,3.4,0.306,1.6,3.1,0.515,0.486,0.9,1.1,0.857,0.4,1.7,2.2,1.5,0.5,0.1,0.9,0.9,7.2,15.7,4.4,9.6,1.4,3.1,12.7,1.7,0.1,5.7,188.0,17.8,75.0,110.0,45.8
Justin Jackson,jacksju01,SF,25,MIL,1,0,33.0,3.0,9.0,0.33299999999999996,2.0,6.0,0.33299999999999996,1.0,3.0,0.33299999999999996,0.444,1.0,2.0,0.5,2.0,4.0,6.0,1.0,0.0,0.0,1.0,1.0,9.0,9.8,5.0,5.5,3.0,3.3,8.8,1.0,0.0,7.0,7.0,20.0,55.0,330.0,73.3
Reggie Jackson,jacksre01,SG,30,LAC,67,43,23.0,3.9,8.7,0.45,1.8,4.2,0.433,2.1,4.5,0.465,0.5539999999999999,1.0,1.2,0.8170000000000001,0.4,2.5,2.9,3.1,0.6,0.1,1.1,1.9,10.7,16.7,8.3,13.0,1.3,2.0,15.0,2.8,0.1,9.4,630.0,16.3,79.3,74.2,43.0
Justin James,jamesju01,SF,24,SAC,36,0,8.6,1.4,3.1,0.46799999999999997,0.4,1.1,0.368,1.1,2.0,0.521,0.532,0.6,1.0,0.583,0.3,0.6,0.8,0.6,0.2,0.1,0.4,0.6,3.9,16.3,2.7,11.3,0.3,1.3,12.6,1.5,0.2,2.5,90.0,15.9,107.5,143.3,44.1
LeBron James,jamesle01,PG,36,LAL,45,45,33.4,9.4,18.3,0.513,2.3,6.3,0.365,7.1,12.0,0.591,0.5760000000000001,4.0,5.7,0.698,0.6,7.0,7.7,7.8,1.1,0.6,3.7,1.6,25.0,26.9,20.8,22.4,7.1,7.7,30.1,2.1,0.4,26.3,1184.0,14.6,43.4,42.8,26.7
Mike James,jamesmi02,PG,30,BRK,13,1,18.2,2.6,7.1,0.37,0.8,2.4,0.355,1.8,4.7,0.377,0.429,1.6,2.1,0.778,0.2,2.2,2.5,4.2,0.5,0.1,1.5,0.8,7.7,15.2,6.1,12.1,2.0,4.0,16.1,2.8,0.1,7.7,100.0,18.4,72.8,43.3,47.3
DaQuan Jeffries,jeffrda01,SG,23,TOT,31,5,15.9,1.6,3.9,0.41700000000000004,0.6,2.2,0.299,1.0,1.7,0.5660000000000001,0.5,0.2,0.3,0.875,0.6,1.7,2.3,0.7,0.5,0.3,0.5,1.5,4.1,9.3,2.6,5.9,1.0,2.3,8.2,1.4,0.2,3.5,108.0,19.0,69.1,227.1,77.6
DaQuan Jeffries,jeffrda01,SG,23,SAC,18,2,12.9,1.3,3.2,0.42100000000000004,0.5,1.6,0.321,0.8,1.6,0.517,0.5,0.3,0.4,0.857,0.5,1.1,1.6,0.3,0.4,0.2,0.4,1.3,3.5,9.8,2.0,5.6,0.4,1.1,6.7,0.7,0.2,2.3,41.0,18.3,80.6,430.0,73.7
DaQuan Jeffries,jeffrda01,SG,23,HOU,13,3,20.1,2.0,4.8,0.413,0.8,3.0,0.282,1.2,1.8,0.625,0.5,0.1,0.1,1.0,0.8,2.5,3.2,1.2,0.6,0.5,0.5,1.9,4.9,8.8,3.6,6.4,1.7,3.0,9.4,2.4,0.3,5.2,68.0,19.6,62.8,167.5,82.0
Ty Jerome,jeromty01,SG,23,OKC,33,1,23.9,3.9,8.7,0.446,2.2,5.1,0.423,1.7,3.6,0.479,0.57,0.8,1.0,0.765,0.3,2.5,2.8,3.6,0.6,0.2,1.4,1.8,10.7,16.1,8.4,12.7,1.5,2.3,15.0,2.6,0.1,9.7,320.0,16.3,85.4,66.4,44.7
Isaiah Joe,joeis01,SG,21,PHI,41,1,9.3,1.2,3.2,0.361,1.0,2.6,0.368,0.2,0.7,0.33299999999999996,0.508,0.4,0.6,0.75,0.1,0.7,0.9,0.5,0.3,0.1,0.3,0.8,3.7,14.3,2.0,7.7,0.3,1.2,8.9,1.7,0.1,2.2,90.0,17.3,103.3,186.0,50.3
Alize Johnson,johnsal02,PF,24,BRK,18,0,10.5,2.2,3.8,0.588,0.1,0.3,0.16699999999999998,2.2,3.4,0.629,0.596,0.7,0.7,1.0,1.5,3.5,5.0,0.8,0.3,0.3,0.5,0.9,5.2,17.8,5.4,18.5,3.2,11.0,29.5,1.6,0.3,8.6,155.0,14.6,21.0,131.2,40.4
Cameron Johnson,johnsca02,PF,24,PHO,60,11,24.0,3.4,8.1,0.42,2.0,5.6,0.349,1.4,2.5,0.581,0.541,0.8,1.0,0.847,0.6,2.8,3.3,1.4,0.6,0.3,0.7,1.4,9.6,14.4,6.2,9.3,2.3,3.4,12.7,2.0,0.2,8.2,492.0,16.9,72.7,171.4,50.0
James Johnson,johnsja01,PF,33,TOT,51,12,20.5,2.9,6.4,0.446,0.6,2.4,0.258,2.3,4.1,0.556,0.494,0.9,1.5,0.5920000000000001,0.6,2.8,3.5,1.9,0.8,0.8,1.1,2.4,7.2,12.6,5.1,9.0,2.0,3.5,12.5,1.7,0.3,6.6,337.0,17.8,58.6,107.9,56.9
James Johnson,johnsja01,PF,33,DAL,29,1,17.4,2.3,5.0,0.462,0.5,2.1,0.25,1.8,2.9,0.612,0.514,0.6,1.0,0.586,0.5,2.5,3.0,1.7,0.8,0.8,0.9,2.0,5.7,11.8,4.3,8.9,2.1,4.3,13.2,1.9,0.4,6.0,174.0,17.5,58.0,102.4,61.1
James Johnson,johnsja01,PF,33,NOP,22,11,24.5,3.6,8.3,0.434,0.7,2.7,0.267,2.9,5.5,0.516,0.478,1.3,2.1,0.596,0.8,3.3,4.1,2.2,0.8,0.9,1.3,2.8,9.2,13.5,6.2,9.1,2.2,3.2,12.3,1.7,0.3,7.6,167.0,18.0,59.8,111.4,53.3
Keldon Johnson,johnske04,SF,21,SAS,69,67,28.5,4.9,10.2,0.479,0.9,2.6,0.331,4.0,7.6,0.531,0.522,2.1,2.8,0.74,1.3,4.6,6.0,1.8,0.6,0.3,1.1,2.1,12.8,16.2,9.5,12.0,3.4,4.3,16.3,1.6,0.1,12.3,849.0,15.9,47.5,158.3,44.5
Stanley Johnson,johnsst04,PF,24,TOR,61,13,16.5,1.5,3.8,0.382,0.7,2.2,0.32799999999999996,0.7,1.6,0.45799999999999996,0.479,0.7,0.9,0.8,0.5,2.0,2.5,1.5,0.9,0.3,0.9,1.9,4.4,9.6,3.2,7.0,1.3,2.8,9.8,1.7,0.2,4.3,262.0,17.3,66.0,110.0,75.0
Tyler Johnson,johnsty01,SG,28,BRK,39,3,17.5,1.8,4.7,0.39299999999999996,1.2,3.4,0.364,0.6,1.3,0.47100000000000003,0.525,0.5,0.5,0.857,0.2,1.8,2.0,1.2,0.4,0.0,0.4,1.1,5.4,11.1,3.5,7.2,1.1,2.3,9.5,3.0,0.0,4.6,179.0,17.4,87.5,145.8,64.8
Nikola Jokic,jokicni01,C,25,DEN,72,72,34.6,10.2,18.0,0.5660000000000001,1.3,3.3,0.38799999999999996,8.9,14.7,0.606,0.602,4.8,5.5,0.868,2.8,8.0,10.8,8.3,1.3,0.7,3.1,2.7,26.4,27.5,26.6,27.7,7.3,7.6,35.3,2.7,0.3,33.2,2390.0,13.6,32.0,41.7,26.2
Damian Jones,jonesda03,C,25,TOT,39,10,14.0,1.8,2.6,0.68,0.0,0.1,0.2,1.8,2.5,0.7040000000000001,0.684,1.1,1.5,0.7240000000000001,0.9,2.2,3.1,0.7,0.3,0.7,0.7,2.0,4.7,12.1,4.8,12.3,1.2,3.1,15.4,1.0,0.4,5.6,218.0,11.1,45.2,200.0,59.6
Damian Jones,jonesda03,C,25,PHO,14,0,6.7,0.6,1.1,0.5,0.0,0.1,0.0,0.6,1.1,0.5329999999999999,0.5,0.4,0.8,0.545,0.5,0.8,1.3,0.3,0.1,0.4,0.4,1.4,1.6,8.6,1.5,8.1,-0.1,-0.5,7.6,0.7,0.3,1.0,14.0,13.8,51.5,223.3,83.8
Damian Jones,jonesda03,C,25,LAL,8,6,14.0,2.0,2.1,0.941,0.0,0.0,,2.0,2.1,0.941,0.941,1.4,1.5,0.917,1.0,2.3,3.3,0.1,0.1,0.9,0.6,2.8,5.4,13.9,5.8,14.9,0.5,1.3,16.2,0.2,0.3,6.2,50.0,7.8,42.4,1400.0,51.9
Damian Jones,jonesda03,C,25,SAC,17,4,20.1,2.7,4.1,0.657,0.1,0.2,0.25,2.6,3.9,0.682,0.664,1.5,2.1,0.7140000000000001,1.2,3.3,4.5,1.4,0.5,1.0,0.9,2.1,6.9,12.4,7.2,12.9,2.7,4.8,17.7,1.6,0.5,9.3,158.0,11.9,44.7,143.6,58.3
Derrick Jones Jr.,jonesde02,SF,23,POR,58,43,22.7,2.5,5.2,0.484,0.7,2.3,0.316,1.8,2.9,0.619,0.5539999999999999,1.0,1.6,0.648,1.3,2.2,3.5,0.8,0.6,0.9,0.6,2.2,6.8,10.8,5.6,8.9,1.5,2.4,11.3,1.3,0.4,6.5,377.0,15.3,64.9,283.7,66.8
Mason Jones,jonesma05,SG,22,TOT,32,1,10.4,1.6,3.8,0.423,0.8,2.1,0.364,0.9,1.8,0.491,0.52,1.3,2.0,0.625,0.2,1.5,1.7,1.3,0.2,0.0,0.9,0.8,5.3,18.3,3.7,12.8,0.9,3.1,15.9,1.4,0.0,3.9,125.0,14.3,61.2,80.0,39.2
Mason Jones,jonesma05,SG,22,HOU,26,1,11.8,1.8,4.4,0.41200000000000003,0.9,2.5,0.359,0.9,1.9,0.48,0.513,1.3,2.2,0.614,0.2,1.8,2.0,1.5,0.2,0.0,1.1,0.8,5.8,17.7,3.8,11.6,1.2,3.7,15.3,1.4,0.0,4.1,107.0,15.2,59.0,78.7,40.7
Mason Jones,jonesma05,SG,22,PHI,6,0,4.5,0.8,1.5,0.556,0.2,0.3,0.5,0.7,1.2,0.5710000000000001,0.611,0.8,1.2,0.7140000000000001,0.5,0.2,0.7,0.5,0.2,0.0,0.2,0.3,2.7,21.6,2.8,22.4,0.1,0.8,23.2,2.5,0.0,2.5,15.0,11.1,64.3,90.0,33.3
Tre Jones,jonestr01,PG,21,SAS,37,1,7.3,1.0,2.1,0.474,0.1,0.1,0.6,0.9,2.0,0.466,0.494,0.5,0.5,0.895,0.2,0.4,0.6,1.1,0.2,0.0,0.4,0.4,2.5,12.3,2.3,11.3,0.2,1.0,12.3,2.8,0.0,2.5,92.0,16.8,121.7,66.4,58.4
Tyus Jones,jonesty01,PG,24,MEM,70,9,17.5,2.5,5.9,0.431,0.6,2.0,0.321,1.9,3.9,0.48700000000000004,0.485,0.6,0.6,0.9109999999999999,0.3,1.7,2.0,3.7,0.9,0.1,0.7,0.4,6.3,13.0,6.2,12.8,2.3,4.7,17.5,5.3,0.2,8.5,595.0,18.7,87.5,47.3,55.6
DeAndre Jordan,jordade01,C,32,BRK,57,43,21.9,3.3,4.4,0.763,0.0,0.0,0.0,3.3,4.4,0.7659999999999999,0.763,0.8,1.6,0.5,2.1,5.4,7.5,1.6,0.3,1.1,1.5,2.0,7.5,12.3,8.6,14.1,4.8,7.9,22.0,1.1,0.6,12.6,718.0,11.7,29.2,136.9,58.4
Cory Joseph,josepco01,PG,29,TOT,63,13,23.0,3.2,6.8,0.469,0.7,2.1,0.341,2.5,4.7,0.527,0.522,1.1,1.4,0.818,0.6,2.0,2.5,3.4,1.0,0.3,1.3,2.2,8.2,12.8,7.3,11.4,1.1,1.7,13.1,2.6,0.1,8.0,504.0,16.6,92.0,67.6,56.1
Cory Joseph,josepco01,PG,29,SAC,44,2,21.5,2.5,5.7,0.444,0.7,2.1,0.33,1.8,3.5,0.513,0.506,0.8,1.1,0.7659999999999999,0.6,1.7,2.3,2.5,0.9,0.2,1.0,2.2,6.6,11.1,5.5,9.2,0.6,1.0,10.2,2.5,0.1,5.8,255.0,17.3,93.5,86.0,65.2
Cory Joseph,josepco01,PG,29,DET,19,11,26.4,4.7,9.3,0.506,0.7,2.0,0.368,3.9,7.3,0.5429999999999999,0.545,1.9,2.2,0.878,0.5,2.6,3.2,5.5,1.2,0.5,1.8,2.2,12.0,16.4,11.6,15.8,2.1,2.9,18.7,3.1,0.2,13.5,256.0,15.5,82.5,48.0,44.0
Mfiondu Kabengele,kabenmf01,PF,23,TOT,39,0,7.2,0.8,2.3,0.371,0.3,1.3,0.26,0.5,1.0,0.513,0.444,0.4,0.5,0.8,0.3,1.2,1.5,0.4,0.2,0.3,0.4,0.9,2.4,12.0,1.2,6.0,0.8,4.0,10.0,1.0,0.3,1.9,74.0,19.2,48.0,180.0,60.0
Mfiondu Kabengele,kabenmf01,PF,23,LAC,23,0,4.1,0.4,1.4,0.281,0.2,0.8,0.222,0.2,0.6,0.35700000000000004,0.344,0.2,0.3,0.833,0.0,0.6,0.6,0.2,0.1,0.1,0.3,0.8,1.2,10.5,0.1,0.9,-0.0,-0.0,0.9,0.7,0.1,0.0,0.0,23.3,68.3,205.0,68.3
Mfiondu Kabengele,kabenmf01,PF,23,CLE,16,0,11.6,1.5,3.6,0.42100000000000004,0.6,2.0,0.281,0.9,1.6,0.6,0.5,0.7,0.9,0.7859999999999999,0.7,2.2,2.9,0.8,0.4,0.6,0.6,1.1,4.3,13.3,3.1,9.6,2.1,6.5,16.1,1.3,0.5,5.0,80.0,16.7,40.0,145.0,54.0
Frank Kaminsky,kaminfr01,C,27,PHO,47,13,15.2,2.6,5.5,0.47100000000000003,0.7,1.8,0.365,1.9,3.7,0.523,0.531,0.8,1.3,0.617,0.8,3.2,4.0,1.7,0.3,0.4,0.5,1.5,6.6,15.6,5.7,13.5,2.4,5.7,19.2,3.4,0.3,7.6,357.0,16.7,38.0,89.4,46.1
Enes Kanter,kanteen01,C,28,POR,72,35,24.4,4.7,7.8,0.604,0.0,0.1,0.25,4.7,7.7,0.607,0.605,1.8,2.3,0.774,3.9,7.1,11.0,1.2,0.5,0.7,1.1,2.3,11.2,16.5,12.1,17.9,6.0,8.9,26.8,1.1,0.3,17.6,1267.0,13.9,22.2,203.3,43.6
Luke Kennard,kennalu01,SG,24,LAC,63,17,19.6,3.1,6.6,0.47600000000000003,1.6,3.6,0.446,1.5,3.0,0.511,0.597,0.4,0.5,0.8390000000000001,0.2,2.3,2.6,1.7,0.4,0.1,0.8,1.4,8.3,15.2,5.9,10.8,1.4,2.6,13.4,2.1,0.1,7.3,460.0,15.9,75.4,115.3,47.2
Louis King,kinglo02,SF,21,SAC,6,1,14.2,2.8,5.7,0.5,0.7,1.8,0.364,2.2,3.8,0.565,0.5589999999999999,1.0,1.0,1.0,0.8,2.2,3.0,1.5,1.2,0.5,0.7,1.5,7.3,18.5,6.0,15.2,2.4,6.1,21.3,2.1,0.3,8.4,50.0,15.6,47.3,94.7,38.9
Maxi Kleber,klebima01,PF,29,DAL,50,40,26.8,2.3,5.5,0.42200000000000004,1.7,4.2,0.41,0.6,1.3,0.46,0.58,0.7,0.7,0.919,0.9,4.3,5.2,1.4,0.5,0.7,0.6,2.1,7.1,9.5,5.6,7.5,3.4,4.6,12.1,2.3,0.3,9.0,450.0,15.5,51.5,191.4,75.5
Nathan Knight,knighna01,PF,23,ATL,33,0,8.5,1.1,3.0,0.37,0.2,1.0,0.182,0.9,2.0,0.46299999999999997,0.4,1.3,1.7,0.8,0.8,1.4,2.2,0.2,0.3,0.3,0.5,0.7,3.8,16.1,2.4,10.2,1.3,5.5,15.7,0.4,0.4,3.3,109.0,15.8,38.6,425.0,44.7
Kevin Knox,knoxke01,SF,21,NYK,42,0,11.0,1.3,3.4,0.392,0.8,2.1,0.39299999999999996,0.5,1.3,0.389,0.514,0.4,0.5,0.8,0.2,1.2,1.5,0.5,0.3,0.1,0.4,0.9,3.9,12.8,2.1,6.9,0.7,2.3,9.2,1.2,0.1,2.8,118.0,17.4,73.3,220.0,56.4
John Konchar,konchjo01,SG,24,MEM,43,0,13.4,1.6,3.2,0.5,0.5,1.3,0.375,1.1,1.9,0.585,0.5760000000000001,0.6,0.7,0.833,0.8,2.2,3.0,1.1,0.7,0.2,0.4,0.9,4.3,11.6,4.2,11.3,2.2,5.9,17.2,2.8,0.2,6.3,271.0,14.9,44.7,121.8,62.3
Furkan Korkmaz,korkmfu01,SG,23,PHI,55,11,19.3,3.1,7.7,0.401,1.8,4.9,0.375,1.3,2.8,0.445,0.52,1.1,1.5,0.732,0.3,1.7,2.1,1.5,0.9,0.2,0.8,1.2,9.1,17.0,5.5,10.3,1.6,3.0,13.3,1.9,0.2,6.8,374.0,16.9,91.9,128.7,42.4
Luke Kornet,kornelu01,C-PF,25,TOT,31,2,11.2,1.4,3.3,0.436,0.5,1.9,0.254,0.9,1.4,0.69,0.51,0.1,0.2,0.5,0.5,1.7,2.2,0.8,0.1,1.0,0.2,0.6,3.4,10.9,2.6,8.4,2.2,7.1,15.5,4.0,1.7,4.7,146.0,19.4,50.9,140.0,65.9
Luke Kornet,kornelu01,PF,25,CHI,13,0,7.2,0.7,2.1,0.33299999999999996,0.5,1.8,0.261,0.2,0.3,0.75,0.444,0.2,0.3,0.5,0.1,1.1,1.2,0.3,0.2,0.5,0.1,0.1,2.0,10.0,0.9,4.5,1.7,8.5,13.0,3.0,5.0,2.5,32.0,21.0,60.0,240.0,72.0
Luke Kornet,kornelu01,C,25,BOS,18,2,14.1,1.9,4.1,0.473,0.5,2.0,0.25,1.4,2.1,0.684,0.534,0.1,0.1,0.5,0.7,2.2,2.9,1.1,0.1,1.4,0.3,1.1,4.4,11.2,3.7,9.4,2.6,6.6,16.0,3.7,1.3,6.3,113.0,18.6,48.6,128.2,64.1
Rodions Kurucs,kurucro01,SF-PF,22,TOT,21,0,6.0,0.5,1.5,0.344,0.3,1.0,0.28600000000000003,0.2,0.5,0.455,0.43799999999999994,0.1,0.2,0.75,0.2,0.9,1.1,0.5,0.4,0.2,0.6,0.8,1.5,9.0,0.6,3.6,0.7,4.2,7.8,0.8,0.2,1.2,25.0,20.0,54.5,120.0,80.0
Rodions Kurucs,kurucro01,PF,22,BRK,5,0,3.2,0.2,0.6,0.33299999999999996,0.2,0.4,0.5,0.0,0.2,0.0,0.5,0.0,0.0,,0.0,0.6,0.6,0.4,0.0,0.0,0.0,0.2,0.6,6.7,0.6,6.7,0.4,4.5,11.2,inf,0.0,1.0,5.0,20.0,53.3,80.0,106.7
Rodions Kurucs,kurucro01,SF,22,HOU,11,0,6.8,0.5,1.9,0.23800000000000002,0.2,1.4,0.133,0.3,0.5,0.5,0.28600000000000003,0.1,0.2,0.5,0.2,0.8,1.0,0.4,0.5,0.4,0.8,0.6,1.2,6.4,-0.4,-2.1,1.1,5.8,3.7,0.5,0.7,0.6,7.0,31.7,68.0,170.0,113.3
Rodions Kurucs,kurucro01,SF,22,MIL,5,0,6.8,1.0,1.6,0.625,0.6,0.8,0.75,0.4,0.8,0.5,0.813,0.4,0.4,1.0,0.6,1.2,1.8,0.8,0.6,0.0,0.8,1.6,3.0,15.9,3.0,15.9,0.2,1.1,17.0,1.0,0.0,3.2,16.0,10.7,37.8,85.0,45.3
Kyle Kuzma,kuzmaky01,SF,25,LAL,68,32,28.7,4.9,11.1,0.44299999999999995,2.0,5.6,0.361,2.9,5.5,0.525,0.5329999999999999,1.0,1.4,0.691,1.6,4.5,6.1,1.9,0.5,0.6,1.7,1.8,12.9,16.2,8.5,10.7,3.8,4.8,15.5,1.1,0.3,11.9,809.0,17.2,47.0,151.1,44.5
Anthony Lamb,lamban01,SF,23,HOU,24,3,17.3,1.9,4.9,0.39,1.0,3.0,0.324,1.0,2.0,0.489,0.48700000000000004,0.8,0.9,0.857,1.1,1.8,2.9,1.0,0.3,0.2,0.8,1.4,5.5,11.4,3.8,7.9,0.9,1.9,9.8,1.2,0.1,4.6,110.0,17.8,59.7,173.0,62.9
Jeremy Lamb,lambje01,SG,28,IND,36,8,21.3,3.3,7.7,0.435,1.4,3.6,0.406,1.9,4.1,0.45899999999999996,0.529,2.0,2.1,0.9470000000000001,0.7,2.9,3.6,1.5,0.9,0.6,0.6,2.0,10.1,17.1,7.3,12.3,2.4,4.1,16.4,2.5,0.3,9.6,346.0,15.2,59.2,142.0,42.2
