Player,Id,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS36M,OFFR,OFFR36M,DEFR,DEFR36M,OFFDEFRATE,ASTPERD,BLKPF,RATE,RATETOT,FGA20P,MP10R,MP10A,MP20P
Dante Exum,exumda01,SG,25,CLE,6,3,19.3,1.7,4.3,0.385,0.3,1.8,0.182,1.3,2.5,0.5329999999999999,0.423,0.2,0.3,0.5,0.3,2.5,2.8,2.2,0.7,0.3,1.2,1.5,3.8,7.1,2.5,4.7,2.0,3.7,8.4,1.8,0.2,4.4,26.0,22.6,68.9,87.7,101.6
Tacko Fall,fallta01,C,25,BOS,19,0,7.2,1.1,1.5,0.7240000000000001,0.0,0.0,,1.1,1.5,0.7240000000000001,0.7240000000000001,0.3,0.8,0.33299999999999996,0.8,1.9,2.7,0.2,0.1,1.1,0.3,1.2,2.5,12.5,2.8,14.0,1.9,9.5,23.5,0.7,0.9,4.2,80.0,12.0,26.7,360.0,57.6
Derrick Favors,favorde01,C,29,UTA,68,0,15.3,2.3,3.6,0.638,0.0,0.0,0.0,2.3,3.5,0.643,0.638,0.9,1.2,0.738,2.0,3.5,5.5,0.6,0.5,1.0,0.5,2.1,5.4,12.7,6.2,14.6,2.9,6.8,21.4,1.2,0.5,8.8,598.0,13.3,27.8,255.0,56.7
Cristiano Felício,feliccr01,C,28,CHI,18,0,4.7,0.4,0.7,0.5379999999999999,0.0,0.1,0.0,0.4,0.6,0.636,0.5379999999999999,0.5,0.9,0.563,0.6,0.9,1.4,0.5,0.2,0.0,0.2,0.6,1.3,10.0,1.9,14.6,0.5,3.8,18.4,2.5,0.0,1.9,34.0,10.8,33.6,94.0,72.3
Terrance Ferguson,fergute01,SG,22,PHI,13,0,3.8,0.1,0.5,0.14300000000000002,0.0,0.4,0.0,0.1,0.2,0.5,0.14300000000000002,0.0,0.0,,0.0,0.1,0.1,0.2,0.1,0.0,0.3,0.5,0.2,1.9,-0.3,-2.8,-0.3,-2.8,-5.6,0.7,0.0,-0.6,-8.0,50.0,380.0,190.0,380.0
Bruno Fernando,fernabr01,C,22,ATL,33,0,6.8,0.5,1.3,0.409,0.0,0.1,0.0,0.5,1.3,0.429,0.409,0.5,0.7,0.682,0.5,1.9,2.4,0.3,0.1,0.1,0.6,0.7,1.5,7.9,0.9,4.8,1.4,7.4,12.2,0.5,0.1,2.1,69.0,17.3,28.3,226.7,90.7
Yogi Ferrell,ferreyo01,PG,27,TOT,10,0,13.6,2.0,5.7,0.35100000000000003,0.9,2.8,0.321,1.1,2.9,0.379,0.43,0.7,0.9,0.778,0.5,1.4,1.9,2.2,0.7,0.3,0.3,1.1,5.6,14.8,4.3,11.4,1.3,3.4,14.8,7.3,0.3,5.4,54.0,20.4,71.6,61.8,48.6
Yogi Ferrell,ferreyo01,PG,27,CLE,2,0,20.0,4.0,10.5,0.381,1.5,4.5,0.33299999999999996,2.5,6.0,0.41700000000000004,0.452,0.0,1.0,0.0,1.5,2.0,3.5,2.5,1.5,0.5,1.5,2.0,9.5,17.1,5.5,9.9,2.0,3.6,13.5,1.7,0.2,6.5,13.0,22.1,57.1,80.0,42.1
Yogi Ferrell,ferreyo01,PG,27,LAC,8,0,12.0,1.5,4.5,0.33299999999999996,0.8,2.4,0.316,0.8,2.1,0.353,0.41700000000000004,0.9,0.9,1.0,0.3,1.3,1.5,2.1,0.5,0.3,0.0,0.9,4.6,13.8,4.0,12.0,1.2,3.6,15.6,inf,0.3,5.1,41.0,19.6,80.0,57.1,52.2
Dorian Finney-Smith,finnedo01,PF,27,DAL,60,60,32.0,3.7,7.8,0.47200000000000003,2.0,5.0,0.39399999999999996,1.7,2.7,0.616,0.6,0.5,0.7,0.7559999999999999,1.6,3.8,5.4,1.7,0.9,0.4,0.8,2.3,9.8,11.0,8.2,9.2,2.8,3.2,12.4,2.1,0.2,10.8,648.0,15.9,59.3,188.2,65.3
